Nombre W-Engine;Ataque wengine;Ataque;Recuperación de energía;Maestría de Anomalía del agente;Tasa de anomalía;Probabilidad de crítico;Daño crítico;Tasa de perforación;Puntos de vida;Defensa;Impacto;agente;tipow;pasiva
Thoughtbop;713;30;0;0;0;0;0;0;0;0;0;Sunna;Soporte;Cuando el portador no es el personaje activo, su Recuperación de Energía aumenta en 0.6/0.69/0.78/0.87/0.96 ptos./s. Cuando el portador usa una técnica especial EX e inflige daño físico, otorga el siguiente efecto de bonificación a todos los personajes del equipo: el daño que infligen aumenta en un 12.5/14.3/16.1/17.9/20 %. Este efecto dura 40 s. Pueden acumularse hasta 2 cargas. La duración se reinicia con cada activación. Al tener 2 cargas, el Ataque de los personajes aumenta en un 10/11.5/13/14.5/16 % adicional. Este efecto solo puede aplicarse una vez por todo el equipo.
Blazing Laurel;713;0;0;0;0;0;0;0;0;0;18;Lighter;Aturdidor;Al ejecutar un apoyo rápido o un apoyo perfecto, el Impacto del portador aumenta en un 25/28.75/32.5/36.25/40% durante 8s. Cuando el portador golpea al enemigo con un ataque normal, le aplica al objetivo una carga de decadencia durante 30s. Pueden acumularse hasta 20 cargas. La duración se reinicia con cada activación. Cuando cualquier miembro del equipo golpea al enemigo, por cada carga de decadencia que tenga el objetivo, el Daño Crítico del daño glacial y el daño ígneo infligido por ese ataque aumenta en un 1.5/1.72/1.95/2.17/2.4%. Este efecto solo puede aplicarse una vez por todos los miembros del equipo.
Neon Fantasies;713;0;0;0;30;0;0;0;0;0;0;Nangong Yu;Aturdidor;La Maestría de Anomalía del portador aumenta en 90/103/117/130/145. Cuando el Ataque Especial EX o el Ataque Básico del portador inflige Daño Etéreo, el daño infligido por todos los miembros del equipo aumenta en un 15/17/19.5/21/24% durante 40 s (puede acumularse hasta 2 veces). Este efecto se puede activar una vez por cada uso de habilidad y activarlo de nuevo reinicia la duración. Con 2 cargas, la Maestría de Anomalía del portador aumenta en 60/69/78/87/96 adicionales. Solo puede existir una instancia de este efecto en el mismo escuadrón.
Ice-Jade Teapot;713;0;0;0;0;0;0;0;0;0;18;Qingyi;Aturdidor;Al golpear a un enemigo con un ataque normal, obtienes 1 carga de impresionan-té. Por cada carga de impresionan-té, el Impacto del portador aumenta en un 0.7/0.88/1.05/1.22/1.4% durante 8s. Pueden acumularse hasta 30 cargas. La duración de cada carga es independiente. Al obtener cargas de impresionan-té, si el portador tiene 15 o más cargas de impresionan-té, el daño infligido por todos los miembros del equipo aumenta en un 20/23/26/29/32% durante 10s. Este efecto no se acumula con otros efectos del mismo nombre.
Spectral Gaze;713;0;0;0;0;24;0;0;0;0;0;Trigger;Aturdidor;Cuando el portador golpea a un enemigo con una réplica e inflige daño eléctrico, la Defensa del objetivo se reduce en un 25/28.75/32.5/36.25/40% durante 5s. Los efectos pasivos con el mismo nombre no se pueden acumular. Cuando se activa este efecto, si el portador no es el agente activo, obtiene 1 carga de oclusión espiritual. Pueden acumularse hasta 3 cargas. Puede activarse un máximo de una vez por cada habilidad. Por cada carga de oclusión espiritual, el Impacto del portador aumenta en un 4/4.6/5.2/5.8/6.4% durante 12s. La duración de cada carga es independiente. Cuando se alcanza el número máximo de cargas de oclusión espiritual, el Impacto del portador aumenta en un 8/9.2/10.4/11.6/12.8% adicional.
Roaring Fur-nace;713;30;0;0;0;0;0;0;0;0;0;Ju Fufu;Aturdidor;El Aturdimiento provocado por la técnica especial EX, la técnica en cadena y la técnica definitiva del portador aumenta en un 28/32.2/36.4/40.6/44.8%. Al ejecutar la técnica en cadena o la técnica definitiva e infligir daño ígneo, el daño infligido por todos los personajes del equipo aumenta en un 10/11.5/13/14.5/16% durante 30s. Pueden acumularse hasta 2 cargas. La duración de cada carga es independiente. Puede activarse un máximo de una vez por cada habilidad. Este efecto solo puede aplicarse una vez por todo el equipo.
Yesterday Calls;713;0;0;0;0;24;0;0;0;0;0;Dialyn;Aturdidor;Al estar inactivo, la Recuperación de Energía del portador aumenta en 1.5/1.7/1.9/2.1/2.3s. Cuando el portador ejecuta la técnica especial EX e inflige daño físico, el Aturdimiento infligido por los ataques del portador aumenta en un 9/10.3/11.7/13/14.5%. Pueden acumularse hasta 3 cargas durante 10s. Al acumular 3 cargas, el Daño Crítico de todos los personajes del equipo aumenta adicionalmente en un 30/34.5/39/43.5/48% durante 40s. La duración se reinicia con cada activación. El efecto de aumento del Daño Crítico solo puede activarse una vez por todo el equipo.
Kraken's Cradle;713;0;0;0;0;0;0;0;30;0;0;Yidhari;Ruptura;Cuando los PV del portador disminuyen, el daño bruto glacial infligido aumenta en un 6/7/8/9/10% durante 25s. Pueden acumularse hasta 3 cargas. La duración de cada carga es independiente. Puede activarse un máximo de una vez cada 0.5s. Cuando los PV del portador se reducen al 50% de sus PV máx. o menos, la Probabilidad de Crítico aumenta en un 20/23/26/29/32%.
Starlight Rider Faceplate;713;0;0;0;0;0;0;0;30;0;0;Starlight - Billy;Ruptura;Aumenta la Prob. CRIT en un 20/23/26/29/32%. Cuando el portador lanza un Ataque Especial, su Daño Sheer Físico aumenta en un 10/11.5/13/14.5/16%, acumulándose hasta 2 veces y durando 30 s. Las activaciones repetidas reinician la duración.
Wrathful Vajra;713;0;0;0;0;0;0;0;30;0;0;Banyue;Ruptura;La Probabilidad de Crítico aumenta en un 20/23/26/29/32%. Cuando el portador ejecuta una técnica especial EX, su daño bruto ígneo aumenta en un 9/10.35/11.7/13.05/14.4%. Pueden acumularse hasta 2 cargas durante 20s. La duración de cada carga es independiente.
Tusks of Fury;713;0;0;0;0;0;0;0;0;0;18;Caesar;Defensor;El valor del escudo que otorga el portador aumenta en un 30/38/46/52/60%. Cuando cualquier miembro del equipo provoca una interrupción o ejecuta una evasión perfecta, el daño que infligen y el Aturdimiento que provocan todos los miembros del equipo aumentan en un 18/22.5/27/31.5/36% y un 12/15/18/21/24% respectivamente durante 20s. Este efecto no se acumula con otros efectos del mismo nombre.
Half-Sugar Bunny;713;0;0;0;0;0;0;0;30;0;0;Zhao;Defensor;La Recuperación de Energía del portador aumenta en 0.46/0.53/0.6/0.67/0.74ptos./s. El Ataque de todos los personajes del equipo aumenta en un 10/11.5/13/14.5/16% y los PV máx. aumentan en un 10/11.5/13/14.5/16%. Solo puede aplicarse una instancia de este efecto para todo el equipo. Cuando el portador activa o extiende la duración de velo etéreo, el Daño Crítico de todos los personajes del equipo aumenta en un 30/34.5/39/43.5/48% durante 60s. La duración se reinicia con cada activación.
